venue_id,runs,wickets,ball,batting_ave,batting_sr
10,19483,755,14705,25.80529801,1.324923495
18,22891,863,16657,26.52491309,1.374257069
109,17821,663,13408,26.87933635,1.329131862
110,23658,878,17427,26.9453303,1.357548631
111,2872,92,1888,31.2173913,1.521186441
112,24866,900,17369,27.62888889,1.431631067
113,878,48,710,18.29166667,1.236619718
114,2056,81,1634,25.38271605,1.258261934
116,23389,892,16904,26.22085202,1.383637009
117,11535,442,8822,26.09728507,1.307526638
118,1298,49,891,26.48979592,1.456790123
119,3316,107,2294,30.99065421,1.445510026
129,2897,104,2093,27.85576923,1.384137602
130,18008,630,12873,28.58412698,1.398896916
131,3746,163,2950,22.98159509,1.269830508
132,2278,80,1654,28.475,1.377267231
162,3841,127,2598,30.24409449,1.478444958
172,14260,518,10760,27.52895753,1.32527881
272,3746,141,2798,26.56737589,1.338813438
274,1363,62,1116,21.98387097,1.221326165
426,1741,60,1396,29.01666667,1.24713467
542,4810,216,3831,22.26851852,1.255546855